Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks
	Rendezvous Surface Station		Point	216100	
	Replenishment at Sea Surface Station		Point	216200	
	Rescue Surface Station		Point	216300	
	Surface Warfare Surface Station		Point	216400	
	Unmanned Underwater Vehicle Surface Station		Point	216500	
	Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Surface Station		Point	216600	
	Mine Warfare Unmanned Underwater Vehicle Surface Station		Point	216700	
	Remote Multi-Mission Vehicle Mine Warfare Unmanned Underwater Surface Station		Point	216800	
	Surface Warfare Mine Warfare Unmanned Underwater Vehicle Surface Station		Point	216900	
	Shore Control Station		Point	217000	
	General Route		Point	217100	
	Diversion Route		Point	217200	
	Position and Intended Movement (PIM) Route		Point	217300	
	Picket Route		Point	217400	
	Point R Route		Point	217500	
	Rendezvous Route		Point	217600	
	Waypoint Route		Point	217700	
	Clutter, Stationary or Cease Reporting		Point	217800	
	Tentative or Provisional Track		Point	217900	
	Distressed Vessel		Point	218000	
	Ditched Aircraft/Downed Aircraft		Point	218100	
	Person in Water/Bailout		Point	218200	
	Iceberg		Point	218300	
	Navigational		Point	218400	
	Oil Rig		Point	218500	
	Sea Mine-Like		Point	218600	
	Bottom Return/NonMine, Mine-Like Bottom Object (NOMBO)		Point	218700	
	Bottom Return/NonMine, Mine-Like Bottom Object (NOMBO)/Installation Manmade		Point	218800	
	Marine Life		Point	218900	
	Sea Anomaly (Wake, Current, Knuckle)		Point	219000	
	Bottom Return/NonMILCO, Wreck, Dangerous		Point	219100	
	Bottom Return/NonMILCO, Wreck, Non Dangerous		Point	219200	
Maritime Control Lines				220000	For training or hierarchical purposes
	Bearing Line		Line	220100	
		Electronic	Line	220101	
		Electronic Warfare (EW)	Line	220102	
		Acoustic	Line	220103	
		Acoustic (Ambiguous)	Line	220104	
		Torpedo	Line	220105	
		Electro-Optical Intercept	Line	220106	
		Jammer	Line	220107	
		Radio Direction Finder (RDF)	Line	220108	
Deception				230000	For training or hierarchical purposes
	Decoy/Dummy			230100	
	Decoy/Dummy/Feint			230200	
Fires Areas				240000	For training or hierarchical purposes
	Airspace Coordination Area			240100	For training or hierarchical purposes
		Irregular	Area	240101	
		Rectangular	Area	240102	
		Circular	Area	240103	
	Free Fire Area			240200	For training or hierarchical purposes
		Irregular	Area	240201	
		Rectangular	Area	240202	
		Circular	Area	240203	
	No Fire Area			240300	For training or hierarchical purposes
		Irregular	Area	240301	
		Rectangular	Area	240302	
		Circular	Area	240303	
	Restricted Fire Area			240400	For training or hierarchical purposes
		Irregular	Area	240401	
		Rectangular	Area	240402	
		Circular	Area	240403	
	Position Area For Artillery (PAA)			240500	For training or hierarchical purposes
		Rectangular	Area	240501	
		Circular	Area	240502	
		Irregular	Area	240503	
	Point Targets			240600	
		Point or Single Target	Point	240601	For training or hierarchical purposes
		Nuclear Target	Point	240602	
		Target-Recorded	Point	240603	
	Linear Targets			240700	For training or hierarchical purposes
